"YEAR","LON_CIU_NAC","LAT_CIU_NAC","DEP_NAC","CIU_NAC","n"
2009,"-72.806210215700006","5.80283711498","Boyaca","Gameza",2
2009,"-72.833350555500004","5.76927431898","Boyaca","Topaga",1
2009,"-72.848879884799999","5.7233616437199997","Boyaca","Mongui",1
2009,"-72.850471489599997","10.8866438","La guajira","Fonseca",4
2009,"-72.856084429500001","6.8768722814599998","Santander","Guaca",1
2009,"-72.870741320899995","7.3093813606299998","Santander","Vetas",1
2009,"-72.889095644700006","4.8794119675600003","Casanare","Monterrey",1
2009,"-72.912271254900006","11.5291254274","La guajira","Riohacha",2
2009,"-72.923236899000003","5.7248620526599998","Boyaca","Sogamoso",54
2009,"-72.931630164400005","5.7784524164200004","Boyaca","Santana",1
2009,"-72.955928319500003","4.0934736787099997","Antioquia","Puerto lopez",1
2009,"-72.970462290100002","6.4753872690199996","Santander","Mogotes",2
2009,"-72.979648402799995","5.6123584486700002","Boyaca","Iza",1
2009,"-72.982386359499998","5.87473860404","Boyaca","Santa rosa de viterbo",6
2009,"-72.993720395899999","5.6691208349600002","Boyaca","Firavitoba",1
2009,"-73.001701387099999","10.7707349804","La guajira","San juan del cesar",1
2009,"-73.013371687900005","10.5599833381","La guajira","Urumita",1
2009,"-73.030268632900004","5.8193691409900001","Boyaca","Duitama",39
2009,"-73.050663427999993","5.5586875279200001","Boyaca","Pesca",2
2009,"-73.054308260599996","6.9954748417300001","Santander","Piedecuesta",1
2009,"-73.116743782200004","5.7804891005799997","Boyaca","Paipa",7
2009,"-73.128570220100002","6.5492726247800004","Santander","San gil",4
2009,"-73.132325230999996","7.1227872853400003","Santander","Bucaramanga",55
2009,"-73.144862610000004","5.1959458000899996","Boyaca","Miraflores",6
2009,"-73.1466694378","6.2853351216600002","Santander","Charala",1
2009,"-73.168872270500003","4.8187050809700001","Boyaca","San luis de gaceno",1
2009,"-73.184517463399999","5.5654186378599997","Boyaca","Toca",1
2009,"-73.221417432799996","8.0812041838099997","Norte de santander","Abrego",1
2009,"-73.225885368199997","5.6907280799800004","Boyaca","Tuta",1
2009,"-73.237431448600006","10.0403645547","Cesar","Agustin codazzi",4
2009,"-73.238139088400004","8.2135938264000004","Norte de santander","La playa",2
2009,"-73.258648343100006","10.4615184337","Cesar","Valledupar",24
2009,"-73.261130959200003","6.4636909745200004","Santander","Socorro",5
2009,"-73.270855505900002","6.8138440669099998","Santander","Zapatoca",1
2009,"-73.335465553299997","5.4011777712900004","Boyaca","Ramiriqui",1
2009,"-73.337194928200006","8.4699950178600005","Norte de santander","Convencion",1
2009,"-73.350527907900002","4.5086538779599996","Cundinamarca","Medina",2
2009,"-73.354363818600007","5.5393706358400001","Boyaca","Tunja",55
2009,"-73.355195715799994","8.2466663649799994","Norte de santander","Ocaña",6
2009,"-73.364766970199994","5.08228084885","Boyaca","Garagoa",10
2009,"-73.396744502600001","5.3161844652600001","Boyaca","Tibana",1
