"dpto","coddepto","mpio","codmpio","codigo","LAT_CIU_NAC","LON_CIU_NAC","n"
"RISARALDA","66","APIA","045","66-045","5.1061188186999997","-75.941059972999994","5"
"CUNDINAMARCA","25","CHOCONTA","183","25-183","5.1448585695200002","-73.683220525799996","18"
"CHOCO","27","ISTMINA","361","27-361","5.1533510032600001","-76.686001541799996","36"
"CUNDINAMARCA","25","SUESCA","772","25-772","5.1034369259699996","-73.798361051300006","9"
"BOYACA","15","MIRAFLORES","455","15-455","5.1959458000899996","-73.144862610000004","22"
"CUNDINAMARCA","25","NIMAIMA","489","25-489",NA,NA,"0"
"CUNDINAMARCA","25","VERGARA","862","25-862","5.11812063068","-74.345467806800002","1"
"BOYACA","15","PAEZ","514","15-514","2.52785035009","-75.957795895499999","7"
"CASANARE","85","OROCUE","230","85-230","4.7900339181699998","-71.338105376200005","4"
"CALDAS","17","RISARALDA","616","17-616","5.15940031424","-75.770631464800005","46"
"BOYACA","15","PACHAVITA","511","15-511",NA,NA,"0"
"BOYACA","15","GARAGOA","299","15-299","5.08228084885","-73.364766970199994","56"
"TOLIMA","73","FALAN","270","73-270","5.11932413169","-74.955500478999994","5"
"CUNDINAMARCA","25","COGUA","200","25-200","5.0618088319499996","-73.978258248700001","3"
"CALDAS","17","MANIZALES","001","17-001","5.0570505637899998","-75.490415062500006","3722"
"TOLIMA","73","HERVEO","347","73-347","5.0799452249700003","-75.1782250336","19"
"CASANARE","85","TAURAMENA","410","85-410","5.0131227893799997","-72.747736112300004","5"
"CALDAS","17","SAN JOSE","665","17-665","5.0826428621200002","-75.791650988200004","1"
"CUNDINAMARCA","25","ZIPAQUIRA","899","25-899","5.0234829415700002","-73.992403066400001","273"
"CUNDINAMARCA","25","QUEBRADANEGRA","592","25-592",NA,NA,"0"
"TOLIMA","73","PALOCABILDO","520","73-520",NA,NA,"0"
"CUNDINAMARCA","25","NEMOCON","486","25-486","5.0675918100699997","-73.878890687600006","9"
"BOYACA","15","LA CAPILLA","380","15-380","5.0955586696299999","-73.445010628999995","5"
"CALDAS","17","PALESTINA","524","17-524","1.7231991236399999","-76.132869099499999","23"
"CALDAS","17","VITERBO","877","17-877","5.0628644193800003","-75.8707592879","8"
"CUNDINAMARCA","25","MACHETA","426","25-426","5.0799154903000003","-73.606509154500003","5"
"TOLIMA","73","ARMERO","055","73-055","5.0290004580599996","-74.884169344","15"
"CUNDINAMARCA","25","TIBIRITA","807","25-807","5.0524459221100004","-73.504653802899995","3"
"TOLIMA","73","CASABIANCA","152","73-152","5.0791479130299999","-75.119791071199998","7"
"RISARALDA","66","SANTUARIO","687","66-687","5.0736769586700001","-75.9646784973","9"
"CUNDINAMARCA","25","SUPATA","777","25-777","5.0618122399700001","-74.235835807800001","3"
"CUNDINAMARCA","25","NOCAIMA","491","25-491","5.0694156061799998","-74.377473609800006","5"
"BOYACA","15","CAMPOHERMOSO","135","15-135","5.03063004868","-73.103518210499999","3"
"BOYACA","15","TENZA","798","15-798","5.0768315662000001","-73.421651152300001","1"
"CUNDINAMARCA","25","VILLETA","875","25-875","5.0094283299700004","-74.472893319199997","40"
"CHOCO","27","NOVITA","491","27-491","4.9560945273000003","-76.607069453899996","4"
"CUNDINAMARCA","25","SESQUILE","736","25-736","5.0451953391000002","-73.796735184599996","13"
"CUNDINAMARCA","25","SUBACHOQUE","769","25-769","4.9283740047900002","-74.172235963099993","15"
"CALDAS","17","BELALCAZAR","088","17-088","4.9951776814500004","-75.803807298400002","10"
"CALDAS","17","CHINCHINA","174","17-174","4.9855180045900003","-75.606384966299998","126"
"CASANARE","85","MANI","139","85-139","4.81684480839","-72.2801607687","6"
"RISARALDA","66","LA CELIA","383","66-383","5.0033701118499998","-76.003193292399999","1"
"CUNDINAMARCA","25","LA VEGA","402","25-402","2.0046383907499998","-76.781503739200005","8"
"BOYACA","15","GUATEQUE","322","15-322","5.0070872499299997","-73.472284481700001","24"
"RISARALDA","66","MARSELLA","440","66-440","4.9366653166600001","-75.738527149299998","5"
"CALDAS","17","VILLAMARIA","873","17-873","4.9599412557499996","-75.551234616800002","84"
"CUNDINAMARCA","25","MANTA","436","25-436","5.0091986301200002","-73.540469998700004","3"
"TOLIMA","73","VILLAHERMOSA","870","73-870","5.0302954452300002","-75.117789876000003","5"
"BOYACA","15","MACANAL","425","15-425","4.9722173309500004","-73.319521182000003","1"
"BOYACA","15","SUTATENZA","778","15-778","5.0232426310299996","-73.452046721399995","2"
"CUNDINAMARCA","25","GACHANCIPA","295","25-295","4.9910503751800004","-73.872917556000004","6"
"CUNDINAMARCA","25","SASAIMA","718","25-718","4.9621139745800003","-74.432947907699997","5"
"CUNDINAMARCA","25","SAN FRANCISCO","658","25-658","1.1767402648900001","-76.875892027999996","3"
"CASANARE","85","MONTERREY","162","85-162","4.8794119675600003","-72.889095644700006","12"
"CUNDINAMARCA","25","TOCANCIPA","817","25-817","4.9651427481599999","-73.911745806499994","4"
"RISARALDA","66","BALBOA","075","66-075","2.0413935585799998","-77.216541210299994","1"
"CUNDINAMARCA","25","CHAGUANI","168","25-168","4.9477306006399999","-74.592714462000004","3"
"BOYACA","15","SOMONDOCO","761","15-761","4.9858093921800002","-73.433312229099997","6"
"CUNDINAMARCA","25","TABIO","785","25-785","4.9164173473000004","-74.098475462300001","19"
"CHOCO","27","SAN JOSE DEL PALMAR","660","27-660","4.8946712382599999","-76.235669635999997","3"
"BOYACA","15","ALMEIDA","022","15-022",NA,NA,"0"
"CUNDINAMARCA","25","GUATAVITA","326","25-326","4.93396486437","-73.833337451399998","12"
"VALLE DEL CAUCA","76","EL AGUILA","243","76-243","4.9098804712000002","-76.041337805200001","1"
"BOYACA","15","GUAYATA","325","15-325","4.9668200875400004","-73.490118653300001","3"
"CASANARE","85","SABANALARGA","300","85-300","10.633833411099999","-74.920625124400004","3"
"CUNDINAMARCA","25","CAJICA","126","25-126","4.9208729141400003","-74.023636534299996","39"
"CUNDINAMARCA","25","SAN JUAN DE RIOSECO","662","25-662","4.8472531528699996","-74.621655904999997","9"
"RISARALDA","66","SANTA ROSA DE CABAL","682","66-682","4.8765085990700001","-75.624074386499998","54"
"CUNDINAMARCA","25","VIANI","867","25-867","4.8752441100499997","-74.561487345399996","1"
"CUNDINAMARCA","25","SOPO","758","25-758","4.9069424369899997","-73.938885287600002","21"
"BOYACA","15","SAN LUIS DE GACENO","667","15-667","4.8187050809700001","-73.168872270500003","6"
"TOLIMA","73","LIBANO","411","73-411","4.9161136030400003","-75.053220172099998","104"
"TOLIMA","73","LERIDA","408","73-408","4.8610517412099998","-74.911602287700006","10"
"CUNDINAMARCA","25","ALBAN","019","25-019","4.8760822692900003","-74.436698859800003","8"
"CUNDINAMARCA","25","GACHETA","297","25-297","4.8163297570200001","-73.636486426000005","24"
"CUNDINAMARCA","25","GUAYABAL DE SIQUIMA","328","25-328","4.8779413716100004","-74.467348356599999","2"
"BOYACA","15","SANTA MARIA","690","15-690","2.9387122040500002","-75.586798974600001","1"
"TOLIMA","73","AMBALEMA","030","73-030","4.78538612936","-74.761798613799996","1"
"RISARALDA","66","LA VIRGINIA","400","66-400","4.8983437954499998","-75.879658430899994","7"
"CUNDINAMARCA","25","GUASCA","322","25-322","4.8675487521700003","-73.878069050999997","12"
"CUNDINAMARCA","25","EL ROSAL","260","25-260",NA,NA,"0"
"BOYACA","15","CHIVOR","236","15-236","488876763021","-733698003698","1"
"CUNDINAMARCA","25","CHIA","175","25-175","4.8658020715100001","-74.049648188199996","158"
"TOLIMA","73","MURILLO","461","73-461","4.87540969341","-75.170318657300001","6"
"RISARALDA","66","PEREIRA","001","66-001","4.8088877321499996","-75.715509920200006","351"
"CUNDINAMARCA","25","TENJO","799","25-799","4.87171577268","-74.143451817100001","19"
"CUNDINAMARCA","25","BITUIMA","095","25-095","4.8720356775100004","-74.539697020800006","1"
"CUNDINAMARCA","25","FACATATIVA","269","25-269","4.8122420145799998","-74.351014690499994","216"
"RISARALDA","66","DOSQUEBRADAS","170","66-170","4.8346340332700004","-75.675182816000003","22"
"CUNDINAMARCA","25","UBALA","839","25-839","4.7481771938300001","-73.532306767199998","5"
"VALLE DEL CAUCA","76","ANSERMANUEVO","041","76-041","4.7932231454699998","-75.991605189599994","2"
"META","50","PUERTO GAITAN","568","50-568","431202705989","-72082954864","1"
"CUNDINAMARCA","25","MADRID","430","25-430","4.7328452031400001","-74.266755452400005","54"
"VALLE DEL CAUCA","76","EL CAIRO","246","76-246","4.7584938832099999","-76.223417251200004","5"
"CUNDINAMARCA","25","COTA","214","25-214","4.8087009681000001","-74.102933639400007","25"
"CUNDINAMARCA","25","BELTRAN","086","25-086",NA,NA,"0"
"CUNDINAMARCA","25","ANOLAIMA","040","25-040","4.7616611678499998","-74.463780650299995","11"
"BOGOTA D.C","11","BOGOTA D.C.","001","11-001","4.6245750496399998","-74.113918716300006","26329"
"CUNDINAMARCA","25","JUNIN","372","25-372","4.7068796752021997","-73.693024260047906","7"
"VALLE DEL CAUCA","76","CARTAGO","147","76-147","4.7385219157599998","-75.911513294000002","119"
"CHOCO","27","SIPI","745","27-745","4.6541149172200003","-76.643384547500006","2"
"CUNDINAMARCA","25","LA CALERA","377","25-377","4.7000453661100003","-73.930082967600001","37"
"VALLE DEL CAUCA","76","ARGELIA","054","76-054","2.3251402700599999","-77.255090913299995","4"
"CUNDINAMARCA","25","ZIPACON","898","25-898","4.76009498133","-74.379403726899994","4"
"TOLIMA","73","VENADILLO","861","73-861","4.71677806822","-74.929383811400001","8"
"CUNDINAMARCA","25","QUIPILE","596","25-596","4.7447343599999998","-74.533451061600005","6"
"TOLIMA","73","SANTA ISABEL","686","73-686","1.1920005765799999","-76.968980033899996","4"
"TOLIMA","73","SANTA ISABEL","686","73-686","4.7138079797400003","-75.094671507699999","10"
"CUNDINAMARCA","25","FUNZA","286","25-286","4.7086565389399997","-74.201979397599999","60"
"CUNDINAMARCA","25","GACHALA","293","25-293","4.6931920143400001","-73.520805478499994","8"
"CUNDINAMARCA","25","GAMA","299","25-299","4.7625831183800003","-73.610784996800007","2"
"CUNDINAMARCA","25","BOJACA","099","25-099","4.74148625686","-74.347563116800004","5"
"CUNDINAMARCA","25","PULI","580","25-580",NA,NA,"0"
"CUNDINAMARCA","25","CACHIPAY","123","25-123","4.73092890716","-74.435952660200002","2"
"VALLE DEL CAUCA","76","ULLOA","845","76-845",NA,NA,"0"
"CUNDINAMARCA","25","TENA","797","25-797","4.6552672944999998","-74.389631241399996","2"
"CUNDINAMARCA","25","PARATEBUENO","530","25-530","4.37502628853","-73.212863863500004","3"
"CUNDINAMARCA","25","MOSQUERA","473","25-473","4.7143046252399996","-74.228268472699995","17"
"TOLIMA","73","ANZOATEGUI","043","73-043","4.6328466970399997","-75.093283826100006","5"
"VALLE DEL CAUCA","76","VERSALLES","863","76-863","4.5758206158599997","-76.199509402800004","8"
"QUINDIO","63","FILANDIA","272","63-272","4.6760071908500001","-75.656183214999999","7"
"CASANARE","85","VILLANUEVA","440","85-440","10.444452630800001","-75.276221979200002","17"
"QUINDIO","63","SALENTO","690","63-690","4.6372797926200002","-75.570795832399995","3"
"VALLE DEL CAUCA","76","TORO","823","76-823","4.6084889543900003","-76.078407777099997","6"
"TOLIMA","73","ALVARADO","026","73-026","4.5681646210900002","-74.952151753799996","5"
"CUNDINAMARCA","25","LA MESA","386","25-386","4.6353737211699997","-74.454288120900003","28"
"VALLE DEL CAUCA","76","ALCALA","020","76-020","4.6739418992899999","-75.775661460799995","4"
"CUNDINAMARCA","25","FOMEQUE","279","25-279","4.4848955998199997","-73.892733514900002","25"
"META","50","BARRANCA DE UPIA","110","50-110","4.5690686668799998","-72.966582101","1"
"QUINDIO","63","CIRCASIA","190","63-190","4.6151267943300001","-75.635614113499997","7"
"TOLIMA","73","IBAGUE","001","73-001","4.4396307254999998","-75.1963501468","644"
"CUNDINAMARCA","25","CHOACHI","181","25-181","4.5290158565300001","-73.922967190199998","17"
"CUNDINAMARCA","25","SAN ANTONIO DEL TEQUENDAMA","645","25-645","4.6160741170600001","-74.351816307199996","4"
"CUNDINAMARCA","25","JERUSALEN","368","25-368","4.56243784729","-74.694660112199998","2"
"CUNDINAMARCA","25","MEDINA","438","25-438","4.5086538779599996","-73.350527907900002","7"
"QUINDIO","63","QUIMBAYA","594","63-594","4.62330250711","-75.762966687800002","9"
"CUNDINAMARCA","25","SOACHA","754","25-754","4.5863900164800002","-74.194901540499998","139"
"CUNDINAMARCA","25","ANAPOIMA","035","25-035","4.5629975897200001","-74.530669206900001","4"
"TOLIMA","73","PIEDRAS","547","73-547","4.5445057672300004","-74.876509660699995","2"
"CUNDINAMARCA","25","APULO","599","25-599","4.5279601233499998","-74.589297477200006","4"
"VALLE DEL CAUCA","76","OBANDO","497","76-497","4.57493085648","-75.974730756200003","2"
"CUNDINAMARCA","25","EL COLEGIO","245","25-245","4.5782646685200001","-74.442739512000003","24"
"CUNDINAMARCA","25","TOCAIMA","815","25-815","4.4609225189300004","-74.635902510600005","10"
"CUNDINAMARCA","25","GUATAQUI","324","25-324",NA,NA,"0"
"TOLIMA","73","CAJAMARCA","124","73-124","4.4377702727499999","-75.433795857600003","14"
"VALLE DEL CAUCA","76","LA UNION","400","76-400","1.5924771767300001","-77.128385668000007","11"
"QUINDIO","63","MONTENEGRO","470","63-470","4.5629703568000002","-75.750808619099999","13"
"QUINDIO","63","ARMENIA","001","63-001","4.5380533161900001","-75.676245409399996","222"
"VALLE DEL CAUCA","76","EL DOVIO","250","76-250","4.5099149895200004","-76.237266027499999","6"
"VALLE DEL CAUCA","76","LA VICTORIA","403","76-403","4.5244408411199997","-76.036214208900006","11"
"CUNDINAMARCA","25","UBAQUE","841","25-841","4.4837889693399999","-73.934173728100006","2"
"CUNDINAMARCA","25","GRANADA","312","25-312","3.5349351906000002","-73.698477557000004","1"
"QUINDIO","63","CALARCA","130","63-130","4.51619928578","-75.6490942155","47"
"CHOCO","27","EL LITORAL DEL SAN JUAN","250","27-250",NA,NA,"0"
"CUNDINAMARCA","25","SIBATE","740","25-740","4.4878713432200001","-74.258749390999995","18"
"META","50","SAN JUANITO","686","50-686",NA,NA,"0"
"VALLE DEL CAUCA","76","ROLDANILLO","622","76-622","4.4135483937000002","-76.151031589400006","30"
"QUINDIO","63","LA TEBAIDA","401","63-401","4.4528810837800004","-75.788513946600006","5"
"CUNDINAMARCA","25","VIOTA","878","25-878","4.4405017675699998","-74.522956381900002","7"
"CUNDINAMARCA","25","SILVANIA","743","25-743","4.3813292260100001","-74.404636826000001","9"
"TOLIMA","73","COELLO","200","73-200",NA,NA,"0"
"VALLE DEL CAUCA","76","ZARZAL","895","76-895","4.3904284654900003","-76.071748166099994","14"
"CUNDINAMARCA","25","CHIPAQUE","178","25-178","4.4425307066700004","-74.044598173699995","6"
"VALLE DEL CAUCA","76","SEVILLA","736","76-736","4.2671913468899998","-75.931157326800005","25"
"META","50","EL CALVARIO","245","50-245","4.3521701575499998","-73.713455027999998","2"
"CUNDINAMARCA","25","CAQUEZA","151","25-151","4.4036654692199999","-73.946573917699993","32"
"CUNDINAMARCA","25","NARIÑO","483","25-483",NA,NA,"0"
"META","50","CABUYARO","124","50-124",NA,NA,"0"
"VALLE DEL CAUCA","76","BOLIVAR","100","76-100","1.8375627029299999","-76.966757199200003","9"
"CUNDINAMARCA","25","GIRARDOT","307","25-307","4.3037054889600004","-74.810462942599997","93"
"VALLE DEL CAUCA","76","CAICEDONIA","122","76-122","4.3406222777399996","-75.836534390099999","20"
"QUINDIO","63","CORDOBA","212","63-212","0,853665965806","-7751806895","1"
"QUINDIO","63","BUENAVISTA","111","63-111",NA,NA,"0"
"META","50","RESTREPO","606","50-606","3.8228998862500001","-76.525079144599999","22"
"CUNDINAMARCA","25","UNE","845","25-845","4.4026037584499997","-74.025207067899998","13"
"META","50","PUERTO LOPEZ","573","50-573","4.0934736787099997","-72.955928319500003","12"
"CUNDINAMARCA","25","AGUA DE DIOS","001","25-001","4.3758531334799997","-74.669545605500005","6"
"CUNDINAMARCA","25","PASCA","535","25-535","4.3102728360500002","-74.304976003799993","6"
"CUNDINAMARCA","25","FUSAGASUGA","290","25-290","4.3377481419299997","-74.366367970100001","126"
"TOLIMA","73","ROVIRA","624","73-624","4.2394833063200004","-75.240683125399997","4"
"CUNDINAMARCA","25","QUETAME","594","25-594","4.3298456949100004","-73.862935274099996","7"
"CUNDINAMARCA","25","TIBACUY","805","25-805","4.3480104366300001","-74.452546316099998","2"
"QUINDIO","63","PIJAO","548","63-548","4.3353132512599997","-75.702514101999995","4"
"CUNDINAMARCA","25","RICAURTE","612","25-612",NA,NA,"0"
"CUNDINAMARCA","25","FOSCA","281","25-281","4.33873601179","-73.939295478299996","3"
"CUNDINAMARCA","25","NILO","488","25-488","4.3068637405399999","-74.6205087644","2"
"QUINDIO","63","GENOVA","302","63-302","4.2077456617999998","-75.789556104699997","1"
"VALLE DEL CAUCA","76","BUGALAGRANDE","113","76-113","4.20815303943","-76.157715206999995","8"
"TOLIMA","73","RONCESVALLES","622","73-622","4.0112275185000001","-75.606139052000003","4"
"TOLIMA","73","SAN LUIS","678","73-678","4.1338811489099996","-75.095870391099993","9"
"META","50","VILLAVICENCIO","001","50-001","4.1229575804499996","-73.626877897","595"
"CUNDINAMARCA","25","GUTIERREZ","339","25-339","425493902272","-74002986808","1"
"META","50","CUMARAL","226","50-226","4.2670618538699996","-73.487486438100007","14"
"TOLIMA","73","FLANDES","275","73-275","4.2827945304200004","-74.810555357300004","2"
"CUNDINAMARCA","25","ARBELAEZ","053","25-053","4.2722598915500001","-74.416084012499994","21"
"TOLIMA","73","VALLE DE SAN JUAN","854","73-854",NA,NA,"0"
"VALLE DEL CAUCA","76","TRUJILLO","828","76-828","4.2093345333099998","-76.321624464300001","8"
"TOLIMA","73","MELGAR","449","73-449","4.2054280017799996","-74.626966185800001","8"
"TOLIMA","73","ICONONZO","352","73-352","4.1741301430100002","-74.527998419100001","7"
"CUNDINAMARCA","25","GUAYABETAL","335","25-335","4.2170694586000002","-73.817032545499998","4"
"TOLIMA","73","SUAREZ","770","73-770","2.9548816876599999","-76.695829782999994","1"
"VALLE DEL CAUCA","76","BUENAVENTURA","109","76-109","3.8736635476000001","-77.020565215999994","50"
"CUNDINAMARCA","25","PANDI","524","25-524","4.1912315262500002","-74.486734458699999","1"
"TOLIMA","73","CARMEN DE APICALA","148","73-148",NA,NA,"0"
"VALLE DEL CAUCA","76","ANDALUCIA","036","76-036","4.17671561529","-76.164666370999996","10"
"TOLIMA","73","ESPINAL","268","73-268","4.1507117319300004","-74.884225780700007","44"
"TOLIMA","73","GUAMO","319","73-319","4.0299554644600004","-74.971495045799998","15"
"META","50","ACACIAS","006","50-006","3.9910140279599999","-73.765602343699996","51"
"CUNDINAMARCA","25","SAN BERNARDO","649","25-649","1.5144310453800001","-77.047089631099993","9"
"VALLE DEL CAUCA","76","RIOFRIO","616","76-616","4.1574581030999997","-76.290627115299998","2"
"VALLE DEL CAUCA","76","TULUA","834","76-834","4.0853584647299996","-76.197175603800005","122"
"VALLE DEL CAUCA","76","SAN PEDRO","670","76-670","3.9941572444900002","-76.229433837000002","3"
"TOLIMA","73","CUNDAY","226","73-226","4.0597468794599996","-74.6932717766","6"
"VALLE DEL CAUCA","76","DARIEN","126","76-126","3.9352239476399999","-76.484223372100004","2"
"TOLIMA","73","ORTEGA","504","73-504","3.9350559409499999","-75.220794136600006","21"
"CUNDINAMARCA","25","VENECIA","506","25-506","4.0891663934100002","-74.477719533699997","5"
"TOLIMA","73","SAN ANTONIO","675","73-675","3.9158554294300001","-75.477178603699997","3"
"VALLE DEL CAUCA","76","YOTOCO","890","76-890","3.8610667624400001","-76.383086680399998","6"
"META","50","GUAMAL","318","50-318","3.8797436036900002","-73.770120376199998","11"
"CUNDINAMARCA","25","CABRERA","120","25-120","3.98482848051","-74.484283763199997","3"
"VALLE DEL CAUCA","76","BUGA","111","76-111","3.9014010272699999","-76.298934040999995","111"
"GUAINIA","94","INIRIDA","001","94-001","3.8703255477399998","-67.918283684000002","12"
"TOLIMA","73","CHAPARRAL","168","73-168","3.7257611101900001","-75.483582209800005","34"
"TOLIMA","73","PURIFICACION","585","73-585","3.8603381425299998","-74.926626655299998","10"
"META","50","CUBARRAL","223","50-223","3.7949048906699998","-73.8350109557","7"
"META","50","SAN CARLOS DE GUAROA","680","50-680","3.7105344843000001","-73.241589417599997","3"
"TOLIMA","73","VILLARRICA","873","73-873","3.93692155457","-74.600598690300004","6"
"TOLIMA","73","SALDAÑA","671","73-671","3.92679713246","-75.016636739000006","9"
"TOLIMA","73","COYAIMA","217","73-217","3.7987236911100002","-75.196207777799998","4"
"META","50","CASTILLA LA NUEVA","150","50-150","3.82798261678","-73.689021562999997","3"
"VALLE DEL CAUCA","76","DAGUA","233","76-233","3.65739350075","-76.689174762299999","14"
"META","50","SAN MARTIN","689","50-689","3.7016105263900001","-73.695972184699997","21"
"VALLE DEL CAUCA","76","RESTREPO","606","76-606","3.8228998862500001","-76.525079144599999","9"
"VALLE DEL CAUCA","76","VIJES","869","76-869",NA,NA,"0"
"VALLE DEL CAUCA","76","GUACARI","318","76-318","3.7619954942299998","-76.333506312899999","10"
"TOLIMA","73","PRADO","563","73-563","3.7498280096299998","-74.927275777999995","3"
"VALLE DEL CAUCA","76","GINEBRA","306","76-306","3.7249000145100002","-76.268869540799997","10"
"HUILA","41","COLOMBIA","206","41-206","3.3765248214499999","-74.802895161500004","9"
"VALLE DEL CAUCA","76","LA CUMBRE","377","76-377","3.6471892934399999","-76.568166463200001","8"
"VALLE DEL CAUCA","76","EL CERRITO","248","76-248","3.6847502751099999","-76.311734082499996","31"
"TOLIMA","73","DOLORES","236","73-236","3.5384437503699999","-74.897433710599998","6"
"GUAINIA","94","CACAHUAL","886","94-886",NA,NA,"0"
"VALLE DEL CAUCA","76","PALMIRA","520","76-520","3.5329373310299999","-76.29821561","941"
"TOLIMA","73","RIOBLANCO","616","73-616","3.5302137774800002","-75.644684136500004","5"
"META","50","EL DORADO","270","50-270",NA,NA,"0"
"GUAINIA","94","BARRANCO MINAS","343","94-343",NA,NA,"0"
"TOLIMA","73","NATAGAIMA","483","73-483","3.62051386577","-75.090596023499998","17"
"META","50","LA URIBE","370","50-370",NA,NA,"0"
"META","50","LEJANIAS","400","50-400","3.5256911357299998","-74.024402345799999","4"
"META","50","EL CASTILLO","251","50-251","3.5647190283399999","-73.794162875200001","3"
"VALLE DEL CAUCA","76","YUMBO","892","76-892","3.54053354875","-76.497611671200005","5"
"TOLIMA","73","ATACO","067","73-067","3.5911648672999998","-75.382454022499999","7"
"META","50","GRANADA","313","50-313","3.5349351906000002","-73.698477557000004","45"
"VALLE DEL CAUCA","76","CALI","001","76-001","3.4063821841299999","-76.526391195200006","1204"
"META","50","MESETAS","330","50-330","3.3822458551999999","-74.044366419100001","5"
"META","50","FUENTE DE ORO","287","50-287","3.4615153893900001","-73.619988981800006","3"
"TOLIMA","73","ALPUJARRA","024","73-024","3.39179995739","-74.932566289600004","11"
"VALLE DEL CAUCA","76","PRADERA","563","76-563","3.4194377672999998","-76.241041111900003","39"
"META","50","PUERTO LLERAS","577","50-577","326940842044","-733731786644","1"
"VALLE DEL CAUCA","76","CANDELARIA","130","76-130","10.459177863300001","-74.879124833800006","26"
"META","50","MAPIRIPAN","325","50-325","2.8920002603200001","-72.133249494500006","2"
"HUILA","41","VILLAVIEJA","872","41-872","3.2192405473300001","-75.218144388900001","1"
"HUILA","41","AIPE","016","41-016","3.2235632387500002","-75.241143602099996","6"
"VALLE DEL CAUCA","76","FLORIDA","275","76-275","3.3244045025700002","-76.234732150400006","40"
"TOLIMA","73","PLANADAS","555","73-555","3.19702137702","-75.643783879500006","6"
"VALLE DEL CAUCA","76","JAMUNDI","364","76-364","3.2641863413199999","-76.538809550799996","12"
"META","50","SAN JUAN DE ARAMA","683","50-683","3.3691074269899999","-73.870800936799995","5"
"CAUCA","19","PUERTO TEJADA","573","19-573","3.2326592931799998","-76.417068365800006","11"
"CAUCA","19","MIRANDA","455","19-455","3.2518940659600002","-76.229670428000006","9"
"HUILA","41","BARAYA","078","41-078","3.15327369237","-75.054290666399993","4"
"CAUCA","19","PADILLA","513","19-513","3.2229973156199998","-76.313017588299999","2"
"CAUCA","19","LOPEZ","418","19-418","2.8459166251100001","-77.248277097100001","1"
"HUILA","41","NEIVA","001","41-001","2.93554559251","-75.2779458694","423"
"CAUCA","19","CALOTO","142","19-142","3.0331583626800001","-76.408484603999995","10"
"CAUCA","19","CORINTO","212","19-212","3.17565160975","-76.261627280699997","6"
"META","50","VISTAHERMOSA","711","50-711","3.12759895118","-73.752523317300003","7"
"HUILA","41","TELLO","799","41-799","3.06742822979","-75.139235101699995","1"
"CAUCA","19","SANTANDER DE QUILICHAO","698","19-698","3.01128796768","-76.4853458905","38"
"META","50","PUERTO RICO","590","50-590","1.9109186199799999","-75.158039357700005","1"
"CAUCA","19","BUENOS AIRES","110","19-110",NA,NA,"0"
"CAUCA","19","TORIBIO","821","19-821","2.9537019690599999","-76.270493020900005","6"
"GUAINIA","94","PUERTO COLOMBIA","884","94-884",NA,NA,"0"
"HUILA","41","SANTA MARIA","676","41-676","2.9387122040500002","-75.586798974600001","4"
"HUILA","41","PALERMO","524","41-524","2.8866588235999999","-75.432785091499994","8"
"CAUCA","19","SUAREZ","780","19-780","2.9548816876599999","-76.695829782999994","2"
"CAUCA","19","PAEZ","517","19-517","2.52785035009","-75.957795895499999","9"
"HUILA","41","TERUEL","801","41-801","2.7412554609900002","-75.567728684599999","3"
"CAUCA","19","JAMBALO","364","19-364",NA,NA,"0"
"CAUCA","19","CALDONO","137","19-137","2.7975088811600002","-76.484701816200001","6"
"CAUCA","19","TIMBIQUI","809","19-809","2.7120115360799999","-77.384702316100004","5"
"CAQUETA","18","SAN VICENTE DEL CAGUAN","753","18-753","1.30930863408","-74.219389815900001","22"
"CAUCA","19","MORALES","473","19-473","2.7493060250200001","-76.625584908099995","2"
"HUILA","41","IQUIRA","357","41-357","2.6500013450700002","-75.635041918100001","4"
"HUILA","41","RIVERA","615","41-615","2.7778968327500002","-75.254858769799995","5"
"GUAVIARE","95","SAN JOSE DEL GUAVIARE","001","95-001","2.5704780989499998","-72.640095997700001","30"
"CAUCA","19","EL TAMBO","256","19-256","1.40798382917","-77.390751148999996","9"
"META","50","PUERTO CONCORDIA","450","50-450","2.6237915422500002","-72.7571004622","3"
"CAUCA","19","PIENDAMO","548","19-548","2.63758943296","-76.527395537399997","17"
"CAUCA","19","SILVIA","743","19-743","2.6151230164400001","-76.372778418500005","12"
"CAUCA","19","CAJIBIO","130","19-130","2.6230310885699999","-76.570385642000005","14"
"HUILA","41","NATAGA","483","41-483","2.54618538725","-75.809315994499997","1"
"HUILA","41","CAMPOALEGRE","132","41-132","2.6841803518199998","-75.326035253300006","11"
"CAUCA","19","GUAPI","318","19-318","2.4027830526949998","-77.674898274752593","13"
"HUILA","41","YAGUARA","885","41-885","2.66479668805","-75.518296168600003","3"
"HUILA","41","ALGECIRAS","020","41-020","2.5225559049899999","-75.315694651900003","13"
"HUILA","41","TESALIA","797","41-797","2.4859112024100001","-75.727443443699997","4"
"NARIÑO","52","SANTA BARBARA","696","52-696",NA,NA,"0"
"CAUCA","19","INZA","355","19-355","2.5487381150099999","-76.0639665737","19"
"META","50","LA MACARENA","350","50-350","2.1836294697700001","-73.786466186499993","1"
"NARIÑO","52","EL CHARCO","250","52-250","2.4758772781","-78.108328129699998","3"
"HUILA","41","HOBO","349","41-349","2.5834678539399998","-75.452628439099996","3"
"CAUCA","19","TOTORO","824","19-824","2.5111976273700001","-76.398170550900005","5"
