"CIU_NAC","LON_CIU_NAC","LAT_CIU_NAC","n"
"El tambo",-77.390751149,1.40798382917,52
"Elias",-75.9381064222,2.01339620267,1
"Enciso",-72.7001385756,6.66972347669,1
"Entrerrios",-75.5171548466,6.56665004926,21
"Envigado",-75.5831907344,6.16666179755,205
"Espinal",-74.8842257807,4.15071173193,44
"Facatativa",-74.3510146905,4.81224201458,216
"Falan",-74.955500479,5.11932413169,5
"Filadelfia",-75.562282237,5.29735027786,30
"Filandia",-75.656183215,4.67600719085,7
"Firavitoba",-72.9937203959,5.66912083496,5
"Flandes",-74.8105553573,4.28279453042,2
"Florencia",-75.6079932658,1.61582907928,145
"Floresta",-72.9190391027,5.85943916568,3
"Florian",-73.9709635955,5.80494925362,2
"Florida",-76.2347321504,3.32440450257,40
"Floridablanca",-73.099121637,7.07732172043,17
"Fomeque",-73.8927335149,4.48489559982,25
"Fonseca",-72.8504714896,10.8866438,21
"Fortul",-71.7678607445,6.79925590284,5
"Fosca",-73.9392954783,4.33873601179,3
"Francisco pizarro",-78.6582827821,2.03926684074,1
"Fredonia",-75.671166144,5.92484004201,16
"Fresno",-75.0361949825,5.15358768839,81
"Frontino",-76.1312233969,6.77558501432,19
"Fuente de oro",-73.6199889818,3.46151538939,3
"Fundacion",-74.1911819159,10.5138500419,7
"Funes",-77.4493739891,1.00112078455,3
"Funza",-74.2019793976,4.70865653894,60
"Fuquene",-73.7958097988,5.40400391041,2
"Fusagasuga",-74.3663679701,4.33774814193,126
"Gachala",-73.5208054785,4.69319201434,8
"Gachancipa",-73.872917556,4.99105037518,6
"Gachantiva",-73.5493153358,5.75196804738,3
"Gacheta",-73.636486426,4.81632975702,24
"Galapa",-74.8831352334,10.9042960533,1
"Galeras",-75.0493364928,9.15980328043,8
"Gama",-73.6107849968,4.76258311838,2
"Gamarra",-73.7425300764,8.32160639331,1
"Gambita",-73.3426272948,5.94583041292,2
"Gameza",-72.8062102157,5.80283711498,5
"Garagoa",-73.3647669702,5.08228084885,56
"Garzon",-75.6267382299,2.19565280171,74
"Genova",-75.7895561047,4.2077456618,1
"Gigante",-75.5457294756,2.38783133576,24
"Ginebra",-76.2688695408,3.72490001451,10
"Giraldo",-75.9497722759,6.67830122959,7
