"dpto","mpio","codigos","LAT_CIU_NAC","LON_CIU_NAC"
"CORDOBA","MOMIL","23-464","9.24002156913","-75.6766729838"
"BOLIVAR","MOMPOS","13-468","9.24102197372","-74.4257994296"
"BOLIVAR","CICUCO","13-188",NA,NA
"NORTE DE SANTANDER","EL CARMEN","54-245","8.51075882437","-73.4467753988"
"CORDOBA","SAN ANDRES DE SOTAVENTO","23-670","9.05864513693","-75.5713391127"
"CORDOBA","SAN ANDRES DE SOTAVENTO","23-670","9.14488624683","-75.5086994626"
"NORTE DE SANTANDER","CONVENCION","54-206","8.46999501786","-73.3371949282"
"BOLIVAR","SAN FERNANDO","13-650","9.21887135796","-74.3349148269"
"SUCRE","SAMPUES","70-670","9.1824393291","-75.379179641"
"CORDOBA","CHIMA","23-168","9.14934447081","-75.6273818148"
"BOLIVAR","MARGARITA","13-440","9.15914023623","-74.293740633"
"SUCRE","GALERAS","70-235","9.15980328043","-75.0493364928"
"CORDOBA","COTORRA","23-300","9.04026968268","-75.7855680706"
"CORDOBA","CHINU","23-182","9.10415277266","-75.4016749242"
"NORTE DE SANTANDER","TEORAMA","54-800","8.43723373402","-73.2869854333"
"CORDOBA","PUERTO ESCONDIDO","23-574","9.00219120432","-76.2614747184"
"NORTE DE SANTANDER","TIBU","54-810","8.63971770051","-72.7359193717"
"SUCRE","SAN BENITO ABAD","70-678","8.92992440782","-75.0313690338"
"CORDOBA","SAN PELAYO","23-686","8.95261525797","-75.8322173185"
"CESAR","TAMALAMEQUE","20-787",NA,NA
"BOLIVAR","PINILLOS","13-549",NA,NA
"CESAR","PAILITAS","20-517","8.93887217771","-73.5721450529"
"SUCRE","SUCRE","70-771","5.91903257843","-73.7914904516"
"CORDOBA","CIENAGA DE ORO","23-189","8.87817659518","-75.6221093386"
"BOLIVAR","HATILLO DE LOBA","13-300","8.94870933834","-74.2215352836"
"CORDOBA","SAHAGUN","23-660","8.94250255224","-75.436794027"
"BOLIVAR","EL PEÑON","13-268","5.24908341275","-74.2901625904"
"BOLIVAR","SAN MARTIN DE LOBA","13-667","8.93716481344","-74.0382545181"
"CORDOBA","LOS CORDOBAS","23-419","8.89510878077","-76.354709992"
"CORDOBA","CERETE","23-162","8.88666155327","-75.7918818626"
"BOLIVAR","BARRANCO DE LOBA","13-074","8.87140886614","-74.118873698"
"CORDOBA","MONTERIA","23-001","8.4570969832","-76.1250820708"
"SUCRE","CAIMITO","70-124","8.78902510273","-75.1160890758"
"ANTIOQUIA","ARBOLETES","05-051","8.85000626596","-76.4266804048"
"CESAR","PELAYA","20-550","8.68732471865","-73.661830633"
"SUCRE","LA UNION","70-400","1.59247717673","-77.128385668"
"CORDOBA","SAN CARLOS","23-678","6.12831821891","-74.8354218238"
"CORDOBA","CANALETE","23-090","8.78760091745","-76.2407532604"
"NORTE DE SANTANDER","EL TARRA","54-250",NA,NA
"BOLIVAR","ALTOS DEL ROSARIO","13-030",NA,NA
"BOLIVAR","REGIDOR","13-580",NA,NA
"ANTIOQUIA","SAN JUAN DE URABA","05-659","8.75949060532","-76.5288897941"
"BOLIVAR","ACHI","13-006","8.44706004447","-74.5258510585"
"CESAR","LA GLORIA","20-383","8.61801512913","-73.8011114104"
"SUCRE","MAJAGUAL","70-429","8.54298963226","-74.6278933714"
"SUCRE","SAN MARCOS","70-708","8.66403584689","-75.1390223232"
"ANTIOQUIA","NECOCLI","05-490","8.42602528099","-76.7876212535"
"BOLIVAR","RIO VIEJO","13-600",NA,NA
"CHOCO","ACANDI","27-006","8.5109498959","-77.2786180632"
"BOLIVAR","TIQUISIO","13-810","8.4924392090635","-74.2966334819057"
"ANTIOQUIA","SAN PEDRO DE URABA","05-665","8.27806430733","-76.3825621279"
"CORDOBA","PUEBLO NUEVO","23-570","8.49792361753","-75.4164218404"
