"dpto","mpio","codigos","LAT_CIU_NAC","LON_CIU_NAC"
"QUINDIO","MONTENEGRO","63-470","4.5629703568","-75.7508086191"
"QUINDIO","ARMENIA","63-001","4.53805331619","-75.6762454094"
"VALLE DEL CAUCA","EL DOVIO","76-250","4.50991498952","-76.2372660275"
"VALLE DEL CAUCA","LA VICTORIA","76-403","4.52444084112","-76.0362142089"
"CUNDINAMARCA","UBAQUE","25-841","4.48378896934","-73.9341737281"
"CUNDINAMARCA","GRANADA","25-312","3.5349351906","-73.698477557"
"QUINDIO","CALARCA","63-130","4.51619928578","-75.6490942155"
"CHOCO","EL LITORAL DEL SAN JUAN","27-250",NA,NA
"CUNDINAMARCA","SIBATE","25-740","4.48787134322","-74.258749391"
"META","SAN JUANITO","50-686",NA,NA
"VALLE DEL CAUCA","ROLDANILLO","76-622","4.4135483937","-76.1510315894"
"QUINDIO","LA TEBAIDA","63-401","4.45288108378","-75.7885139466"
"CUNDINAMARCA","VIOTA","25-878","4.44050176757","-74.5229563819"
"CUNDINAMARCA","SILVANIA","25-743","4.38132922601","-74.404636826"
"TOLIMA","COELLO","73-200",NA,NA
"VALLE DEL CAUCA","ZARZAL","76-895","4.39042846549","-76.0717481661"
"CUNDINAMARCA","CHIPAQUE","25-178","4.44253070667","-74.0445981737"
"VALLE DEL CAUCA","SEVILLA","76-736","4.26719134689","-75.9311573268"
"META","EL CALVARIO","50-245","4.35217015755","-73.713455028"
"CUNDINAMARCA","CAQUEZA","25-151","4.40366546922","-73.9465739177"
"CUNDINAMARCA","NARIÑO","25-483",NA,NA
"META","CABUYARO","50-124",NA,NA
"VALLE DEL CAUCA","BOLIVAR","76-100","1.83756270293","-76.9667571992"
"CUNDINAMARCA","GIRARDOT","25-307","4.30370548896","-74.8104629426"
"VALLE DEL CAUCA","CAICEDONIA","76-122","4.34062227774","-75.8365343901"
"QUINDIO","CORDOBA","63-212","0.853665965806","-77.51806895"
"QUINDIO","BUENAVISTA","63-111",NA,NA
"META","RESTREPO","50-606","3.82289988625","-76.5250791446"
"CUNDINAMARCA","UNE","25-845","4.40260375845","-74.0252070679"
"META","PUERTO LOPEZ","50-573","4.09347367871","-72.9559283195"
"CUNDINAMARCA","AGUA DE DIOS","25-001","4.37585313348","-74.6695456055"
"CUNDINAMARCA","PASCA","25-535","4.31027283605","-74.3049760038"
"CUNDINAMARCA","FUSAGASUGA","25-290","4.33774814193","-74.3663679701"
"TOLIMA","ROVIRA","73-624","4.23948330632","-75.2406831254"
"CUNDINAMARCA","QUETAME","25-594","4.32984569491","-73.8629352741"
"CUNDINAMARCA","TIBACUY","25-805","4.34801043663","-74.4525463161"
"QUINDIO","PIJAO","63-548","4.33531325126","-75.702514102"
"CUNDINAMARCA","RICAURTE","25-612",NA,NA
"CUNDINAMARCA","FOSCA","25-281","4.33873601179","-73.9392954783"
"CUNDINAMARCA","NILO","25-488","4.30686374054","-74.6205087644"
"QUINDIO","GENOVA","63-302","4.2077456618","-75.7895561047"
"VALLE DEL CAUCA","BUGALAGRANDE","76-113","4.20815303943","-76.157715207"
"TOLIMA","RONCESVALLES","73-622","4.0112275185","-75.606139052"
"TOLIMA","SAN LUIS","73-678","4.13388114891","-75.0958703911"
"META","VILLAVICENCIO","50-001","4.12295758045","-73.626877897"
"CUNDINAMARCA","GUTIERREZ","25-339","4.25493902272","-74.002986808"
"META","CUMARAL","50-226","4.26706185387","-73.4874864381"
"TOLIMA","FLANDES","73-275","4.28279453042","-74.8105553573"
"CUNDINAMARCA","ARBELAEZ","25-053","4.27225989155","-74.4160840125"
"TOLIMA","VALLE DE SAN JUAN","73-854",NA,NA
"VALLE DEL CAUCA","TRUJILLO","76-828","4.20933453331","-76.3216244643"
"TOLIMA","MELGAR","73-449","4.20542800178","-74.6269661858"
"TOLIMA","ICONONZO","73-352","4.17413014301","-74.5279984191"
"CUNDINAMARCA","GUAYABETAL","25-335","4.2170694586","-73.8170325455"
"TOLIMA","SUAREZ","73-770","2.95488168766","-76.695829783"
"VALLE DEL CAUCA","BUENAVENTURA","76-109","3.8736635476","-77.020565216"
"CUNDINAMARCA","PANDI","25-524","4.19123152625","-74.4867344587"
"TOLIMA","CARMEN DE APICALA","73-148",NA,NA
"VALLE DEL CAUCA","ANDALUCIA","76-036","4.17671561529","-76.164666371"
"TOLIMA","ESPINAL","73-268","4.15071173193","-74.8842257807"
"TOLIMA","GUAMO","73-319","4.02995546446","-74.9714950458"
"META","ACACIAS","50-006","3.99101402796","-73.7656023437"
"CUNDINAMARCA","SAN BERNARDO","25-649","1.51443104538","-77.0470896311"
"VALLE DEL CAUCA","RIOFRIO","76-616","4.1574581031","-76.2906271153"
"VALLE DEL CAUCA","TULUA","76-834","4.08535846473","-76.1971756038"
"VALLE DEL CAUCA","SAN PEDRO","76-670","3.99415724449","-76.229433837"
"TOLIMA","CUNDAY","73-226","4.05974687946","-74.6932717766"
"VALLE DEL CAUCA","DARIEN","76-126","3.93522394764","-76.4842233721"
"TOLIMA","ORTEGA","73-504","3.93505594095","-75.2207941366"
"CUNDINAMARCA","VENECIA","25-506","4.08916639341","-74.4777195337"
"TOLIMA","SAN ANTONIO","73-675","3.91585542943","-75.4771786037"
"VALLE DEL CAUCA","YOTOCO","76-890","3.86106676244","-76.3830866804"
"META","GUAMAL","50-318","3.87974360369","-73.7701203762"
"CUNDINAMARCA","CABRERA","25-120","3.98482848051","-74.4842837632"
"VALLE DEL CAUCA","BUGA","76-111","3.90140102727","-76.298934041"
"GUAINIA","INIRIDA","94-001","3.87032554774","-67.918283684"
"TOLIMA","CHAPARRAL","73-168","3.72576111019","-75.4835822098"
"TOLIMA","PURIFICACION","73-585","3.86033814253","-74.9266266553"
"META","CUBARRAL","50-223","3.79490489067","-73.8350109557"
"META","SAN CARLOS DE GUAROA","50-680","3.7105344843","-73.2415894176"
"TOLIMA","VILLARRICA","73-873","3.93692155457","-74.6005986903"
"TOLIMA","SALDAÑA","73-671","3.92679713246","-75.016636739"
"TOLIMA","COYAIMA","73-217","3.79872369111","-75.1962077778"
"META","CASTILLA LA NUEVA","50-150","3.82798261678","-73.689021563"
"VALLE DEL CAUCA","DAGUA","76-233","3.65739350075","-76.6891747623"
"META","SAN MARTIN","50-689","3.70161052639","-73.6959721847"
"VALLE DEL CAUCA","RESTREPO","76-606","3.82289988625","-76.5250791446"
"VALLE DEL CAUCA","VIJES","76-869",NA,NA
"VALLE DEL CAUCA","GUACARI","76-318","3.76199549423","-76.3335063129"
"TOLIMA","PRADO","73-563","3.74982800963","-74.927275778"
"VALLE DEL CAUCA","GINEBRA","76-306","3.72490001451","-76.2688695408"
"HUILA","COLOMBIA","41-206","3.37652482145","-74.8028951615"
"VALLE DEL CAUCA","LA CUMBRE","76-377","3.64718929344","-76.5681664632"
"VALLE DEL CAUCA","EL CERRITO","76-248","3.68475027511","-76.3117340825"
"TOLIMA","DOLORES","73-236","3.53844375037","-74.8974337106"
"GUAINIA","CACAHUAL","94-886",NA,NA
"VALLE DEL CAUCA","PALMIRA","76-520","3.53293733103","-76.29821561"
"TOLIMA","RIOBLANCO","73-616","3.53021377748","-75.6446841365"
"META","EL DORADO","50-270",NA,NA
"GUAINIA","BARRANCO MINAS","94-343",NA,NA
"TOLIMA","NATAGAIMA","73-483","3.62051386577","-75.0905960235"
"META","LA URIBE","50-370",NA,NA
"META","LEJANIAS","50-400","3.52569113573","-74.0244023458"
"META","EL CASTILLO","50-251","3.56471902834","-73.7941628752"
"VALLE DEL CAUCA","YUMBO","76-892","3.54053354875","-76.4976116712"
"TOLIMA","ATACO","73-067","3.5911648673","-75.3824540225"
"META","GRANADA","50-313","3.5349351906","-73.698477557"
"VALLE DEL CAUCA","CALI","76-001","3.40638218413","-76.5263911952"
"META","MESETAS","50-330","3.3822458552","-74.0443664191"
"META","FUENTE DE ORO","50-287","3.46151538939","-73.6199889818"
"TOLIMA","ALPUJARRA","73-024","3.39179995739","-74.9325662896"
"VALLE DEL CAUCA","PRADERA","76-563","3.4194377673","-76.2410411119"
"META","PUERTO LLERAS","50-577","3.26940842044","-73.3731786644"
"VALLE DEL CAUCA","CANDELARIA","76-130","10.4591778633","-74.8791248338"
"META","MAPIRIPAN","50-325","2.89200026032","-72.1332494945"
"HUILA","VILLAVIEJA","41-872","3.21924054733","-75.2181443889"
"HUILA","AIPE","41-016","3.22356323875","-75.2411436021"
"VALLE DEL CAUCA","FLORIDA","76-275","3.32440450257","-76.2347321504"
"TOLIMA","PLANADAS","73-555","3.19702137702","-75.6437838795"
"VALLE DEL CAUCA","JAMUNDI","76-364","3.26418634132","-76.5388095508"
"META","SAN JUAN DE ARAMA","50-683","3.36910742699","-73.8708009368"
"CAUCA","PUERTO TEJADA","19-573","3.23265929318","-76.4170683658"
"CAUCA","MIRANDA","19-455","3.25189406596","-76.229670428"
"HUILA","BARAYA","41-078","3.15327369237","-75.0542906664"
"CAUCA","PADILLA","19-513","3.22299731562","-76.3130175883"
"CAUCA","LOPEZ","19-418","2.84591662511","-77.2482770971"
"HUILA","NEIVA","41-001","2.93554559251","-75.2779458694"
"CAUCA","CALOTO","19-142","3.03315836268","-76.408484604"
"CAUCA","CORINTO","19-212","3.17565160975","-76.2616272807"
"META","VISTAHERMOSA","50-711","3.12759895118","-73.7525233173"
"HUILA","TELLO","41-799","3.06742822979","-75.1392351017"
"CAUCA","SANTANDER DE QUILICHAO","19-698","3.01128796768","-76.4853458905"
"META","PUERTO RICO","50-590","1.91091861998","-75.1580393577"
"CAUCA","BUENOS AIRES","19-110",NA,NA
"CAUCA","TORIBIO","19-821","2.95370196906","-76.2704930209"
"GUAINIA","PUERTO COLOMBIA","94-884",NA,NA
"HUILA","SANTA MARIA","41-676","2.93871220405","-75.5867989746"
"HUILA","PALERMO","41-524","2.8866588236","-75.4327850915"
"CAUCA","SUAREZ","19-780","2.95488168766","-76.695829783"
"CAUCA","PAEZ","19-517","2.64531146532","-75.9719235642"
"HUILA","TERUEL","41-801","2.74125546099","-75.5677286846"
"CAUCA","JAMBALO","19-364",NA,NA
"CAUCA","CALDONO","19-137","2.79750888116","-76.4847018162"
"CAUCA","TIMBIQUI","19-809","2.71201153608","-77.3847023161"
"CAQUETA","SAN VICENTE DEL CAGUAN","18-753","1.30930863408","-74.2193898159"
"CAUCA","MORALES","19-473","2.74930602502","-76.6255849081"
"HUILA","IQUIRA","41-357","2.65000134507","-75.6350419181"
"HUILA","RIVERA","41-615","2.77789683275","-75.2548587698"
"GUAVIARE","SAN JOSE DEL GUAVIARE","95-001","2.57047809895","-72.6400959977"
"CAUCA","EL TAMBO","19-256","1.40798382917","-77.390751149"
"META","PUERTO CONCORDIA","50-450","2.62379154225","-72.7571004622"
"CAUCA","PIENDAMO","19-548","2.63758943296","-76.5273955374"
"CAUCA","SILVIA","19-743","2.61512301644","-76.3727784185"
"CAUCA","CAJIBIO","19-130","2.62303108857","-76.570385642"
"HUILA","NATAGA","41-483","2.54618538725","-75.8093159945"
"HUILA","CAMPOALEGRE","41-132","2.68418035182","-75.3260352533"
"CAUCA","GUAPI","19-318","2.57198998096","-77.8854667538"
"HUILA","YAGUARA","41-885","2.66479668805","-75.5182961686"
"HUILA","ALGECIRAS","41-020","2.52255590499","-75.3156946519"
"HUILA","TESALIA","41-797","2.48591120241","-75.7274434437"
"NARIÑO","SANTA BARBARA","52-696",NA,NA
"CAUCA","INZA","19-355","2.54873811501","-76.0639665737"
"META","LA MACARENA","50-350","2.18362946977","-73.7864661865"
"NARIÑO","EL CHARCO","52-250","2.4758772781","-78.1083281297"
"HUILA","HOBO","41-349","2.58346785394","-75.4526284391"
"CAUCA","TOTORO","19-824","2.51119762737","-76.3981705509"
"NARIÑO","MOSQUERA","52-473",NA,NA
"NARIÑO","LA TOLA","52-390","2.39792155095","-78.1897982893"
"CAUCA","POPAYAN","19-001","2.43835548047","-76.640426845"
"HUILA","GIGANTE","41-306","2.38783133576","-75.5457294756"
"HUILA","LA PLATA","41-396","2.38932771847","-75.8911122161"
"GUAINIA","SAN FELIPE","94-883",NA,NA
"NARIÑO","OLAYA  HERRERA","52-490",NA,NA
"CAUCA","TIMBIO","19-807","2.34972061446","-76.6778696915"
"HUILA","PAICOL","41-518","2.44961436155","-75.7750976769"
"NARIÑO","FRANCISCO PIZARRO","52-520","2.03926684074","-78.6582827821"
"CAUCA","SOTARA","19-760","2.25321720309","-76.6141709676"
"CAUCA","PURACE","19-585","2.38112661665","-76.4551928003"
"CAUCA","ARGELIA","19-050","2.32514027006","-77.2550909133"
"HUILA","AGRADO","41-013","2.26001844092","-75.7710499139"
"CAQUETA","PUERTO RICO","18-592","1.91091861998","-75.1580393577"
"CAUCA","PATIA","19-532","2.25547448667","-77.1200126233"
"GUAINIA","PANA PANA","94-887",NA,NA
"HUILA","PITAL","41-548","2.26725490632","-75.8048973405"
"CAUCA","ROSAS","19-622",NA,NA
"HUILA","GARZON","41-298","2.19565280171","-75.6267382299"
"NARIÑO","ROBERTO PAYAN","52-621","1.69698691823","-78.2446761093"
"CAUCA","LA SIERRA","19-392","2.17704168214","-76.7632022599"
"CAQUETA","EL DONCELLO","18-247","1.67906350715","-75.2828373662"
"GUAVIARE","EL RETORNO","95-025","2.33079719736","-72.6279707884"
"HUILA","LA ARGENTINA","41-378","2.19897948866","-75.9791654498"
"CAUCA","BALBOA","19-075","2.04139355858","-77.2165412103"
"HUILA","TARQUI","41-791","2.10954161946","-75.8267661971"
"NARIÑO","MAGUI","52-427","1.90955456261","-78.0839854773"
"HUILA","OPORAPA","41-503","2.02415893714","-75.9975535895"
"NARIÑO","LEIVA","52-405","1.93449673792","-77.3066651005"
"CAUCA","LA VEGA","19-397","2.00463839075","-76.7815037392"
"CAQUETA","FLORENCIA","18-001","1.61582907928","-75.6079932658"
"HUILA","SALADOBLANCO","41-660",NA,NA
"HUILA","GUADALUPE","41-319","2.02297348548","-75.7590386418"
"HUILA","SAN AGUSTIN","41-668","1.88147214878","-76.2708135539"
"HUILA","ALTAMIRA","41-026","2.06340890548","-75.7886555897"
"HUILA","ISNOS","41-359","1.93035577877","-76.2145418301"
"NARIÑO","TUMACO","52-835","1.75029972282","-78.789400969"
"CAUCA","BOLIVAR","19-100","1.83756270293","-76.9667571992"
"HUILA","ELIAS","41-244","2.01339620267","-75.9381064222"
"VAUPES","PAPUNAUA","97-777",NA,NA
"HUILA","SUAZA","41-770","1.97693441471","-75.7946571509"
"CAUCA","SAN SEBASTIAN","19-693","1.90039533627","-76.6711180206"
"HUILA","TIMANA","41-807","1.97430010243","-75.9323485772"
"CAUCA","ALMAGUER","19-022","1.91525377527","-76.8528174101"
"GUAVIARE","CALAMAR","95-015",NA,NA
"CAUCA","MERCADERES","19-450","1.80307505355","-77.1687293641"
"HUILA","PITALITO","41-551","1.85414505113","-76.0404004061"
"NARIÑO","POLICARPA","52-540","1.62869823451","-77.4587713765"
"CAUCA","SANTA ROSA","19-701",NA,NA
"NARIÑO","EL ROSARIO","52-256","1.74490322467","-77.3346286535"
"HUILA","ACEVEDO","41-006","1.8043274263","-75.8919935956"
"CAQUETA","EL PAUJIL","18-256","1.57049113684","-75.3267456512"
"GUAVIARE","MIRAFLORES","95-200",NA,NA
"HUILA","PALESTINA","41-530","1.72319912364","-76.1328690995"
"CAQUETA","LA MONTAÑITA","18-410","1.48833022079","-75.4361470337"
"NARIÑO","CUMBITARA","52-233","1.64767179037","-77.5784311039"
"NARIÑO","BARBACOAS","52-079","1.67357164668","-78.1382611994"
"CAQUETA","BELEN DE LOS ANDAQUIES","18-094","1.41997507453","-75.8692688364"
"CAUCA","FLORENCIA","19-290","1.61582907928","-75.6079932658"
"NARIÑO","LOS ANDES","52-418","1.49420521996","-77.5210875385"
"NARIÑO","SAN PABLO","52-693","1.66915803917","-77.0127283397"
"VAUPES","CARURU","97-161",NA,NA
"NARIÑO","TAMINANGO","52-786","1.57012763762","-77.2807279183"
"NARIÑO","COLON","52-203","1.19200057658","-76.9689800339"
"NARIÑO","LA UNION","52-399","1.59247717673","-77.128385668"
"NARIÑO","SAN LORENZO","52-687","1.50282726517","-77.2152315266"
"GUAINIA","LA GUADALUPE","94-885",NA,NA
"VAUPES","MITU","97-001","1.25117078854","-70.2349602618"
"NARIÑO","LA CRUZ","52-378","1.60014416755","-76.9711823702"
"NARIÑO","BELEN","52-083","1.59564430447","-77.016287834"
"CAQUETA","MORELIA","18-479","1.48803902537","-75.7265584717"
"NARIÑO","LA LLANADA","52-385","1.47292218692","-77.5800004243"
"NARIÑO","SAN PEDRO DE CARTAGO","52-694","1.5520849352","-77.1207419723"
"NARIÑO","SAN BERNARDO","52-685","1.51443104538","-77.0470896311"
"NARIÑO","ALBAN","52-019",NA,NA
"NARIÑO","ARBOLEDA","52-051","1.50342205984","-77.1354496867"
"NARIÑO","SAMANIEGO","52-678","1.33227290978","-77.6007321214"
"CAUCA","PIAMONTE","19-533","1.11567690787","-76.3267213883"
"NARIÑO","EL TAMBO","52-260","1.40798382917","-77.390751149"
"CAQUETA","SAN JOSE DEL FRAGUA","18-610","1.33172583849","-75.9736618541"
"NARIÑO","CHACHAGUI","52-240",NA,NA
"NARIÑO","EL TABLON DE GOMEZ","52-258","1.42729321308","-77.0973463182"
"NARIÑO","LINARES","52-411","1.35127830979","-77.5236269197"
"NARIÑO","RICAURTE","52-612","1.21122770251","-77.9939922255"
"NARIÑO","BUESACO","52-110","1.40074964583","-77.1242931672"
"NARIÑO","SANTA CRUZ","52-699","1.22164529241","-77.6772944592"
"NARIÑO","LA FLORIDA","52-381","1.29916722678","-77.4073937557"
"CAQUETA","CARTAGENA DEL CHAIRA","18-150","1.3340194073","-74.8475720157"
"PUTUMAYO","MOCOA","86-001","1.14428450756","-76.6519175009"
"NARIÑO","SANDONA","52-683","1.28128758136","-77.4773138188"
"CAQUETA","VALPARAISO","18-860","1.19761525166","-75.7053662852"
"CAQUETA","MILAN","18-460","1.29064424048","-75.507530311"
"CAQUETA","ALBANIA","18-029","1.32903377181","-75.8786522147"
"NARIÑO","PASTO","52-001","1.0557848325","-77.1955147333"
"NARIÑO","PROVIDENCIA","52-565","1.2379913538","-77.5965444343"
"NARIÑO","MALLAMA","52-435","1.14084161818","-77.8646583337"
"NARIÑO","ANCUYA","52-036","1.26245062268","-77.5146115719"
"PUTUMAYO","SAN FRANCISCO","86-755","1.17674026489","-76.875892028"
"NARIÑO","TUQUERRES","52-838","1.08663901074","-77.6178536323"
"NARIÑO","CONSACA","52-207","1.20719433138","-77.4657184135"
"PUTUMAYO","SIBUNDOY","86-749","1.2030862151","-76.9212871804"
"NARIÑO","GUAITARILLA","52-320","1.13086900013","-77.5479120563"
"CAQUETA","CURILLO","18-205","1.03365529502","-75.9203547685"
"NARIÑO","YACUANQUER","52-885","1.11562696069","-77.4029913489"
"PUTUMAYO","COLON","86-219","1.19200057658","-76.9689800339"
"CAQUETA","SOLANO","18-756","0.988639312542","-75.0658449751"
"NARIÑO","TANGUA","52-788","1.09479364234","-77.3942990576"
"PUTUMAYO","SANTIAGO","86-760","1.1465700937","-77.0025114068"
"NARIÑO","IMUES","52-354","1.0551982914","-77.4965675723"
"NARIÑO","SAPUYES","52-720","1.03717522709","-77.6222392123"
"NARIÑO","FUNES","52-287","1.00112078455","-77.4493739891"
"CAQUETA","SOLITA","18-785",NA,NA
"NARIÑO","CUMBAL","52-227","0.906450846049","-77.7912420697"
"NARIÑO","OSPINA","52-506","1.0588340604","-77.5661809508"
"PUTUMAYO","VILLAGARZON","86-885","1.02995420604","-76.6168096886"
"VAUPES","YAVARATE","97-889",NA,NA
"NARIÑO","GUACHUCAL","52-317","0.960368495971","-77.7316556305"
"PUTUMAYO","PUERTO GUZMAN","86-571","0.963896881051","-76.4080321934"
"NARIÑO","ILES","52-352","0.968495857115","-77.5213951381"
"NARIÑO","PUPIALES","52-585","0.8709910533","-77.6396036189"
"NARIÑO","GUALMATAN","52-323","0.919358440058","-77.5664755001"
"PUTUMAYO","ORITO","86-320","0.676020477109","-76.8802098557"
"NARIÑO","ALDANA","52-022","0.88224359638","-77.7003748185"
"NARIÑO","CONTADERO","52-210","0.908386320471","-77.5478326274"
"NARIÑO","PUERRES","52-573","0.883414835877","-77.5030051333"
"NARIÑO","CUASPUD","52-224","0.7365252068","-77.4378844704"
"NARIÑO","CORDOBA","52-215","0.853665965806","-77.51806895"
"NARIÑO","IPIALES","52-356","0.829031718872","-77.646095663"
"NARIÑO","POTOSI","52-560","0.7365252068","-77.4378844704"
"VAUPES","PACOA","97-511",NA,NA
"PUTUMAYO","PUERTO CAICEDO","86-569","0.685064178774","-76.6045178173"
"PUTUMAYO","PUERTO LEGUIZAMO","86-573","-0.184973168422","-74.7836699476"
"PUTUMAYO","PUERTO ASIS","86-568","0.504218750676","-76.4978366718"
"PUTUMAYO","VALLE DEL GUAMUEZ","86-865","0.423905142192","-76.9050395058"
"PUTUMAYO","SAN MIGUEL","86-757",NA,NA
"AMAZONAS","MIRITI-PARANA","91-460",NA,NA
"VAUPES","TARAIRA","97-666",NA,NA
"AMAZONAS","PUERTO SANTANDER","91-669","-1.0986758956768","-71.939286893897"
"AMAZONAS","LA CHORRERA","91-405","-1.2423641464413","-72.7588253369472"
"AMAZONAS","LA PEDRERA","91-407","-1.4323734428449","-70.035395399943"
"AMAZONAS","EL ENCANTO","91-263","-2.0086230627875","-72.724005861231"
"AMAZONAS","TARAPACA","91-798","-2.4594107942004","-70.0016249985574"
"AMAZONAS","LETICIA","91-001","-4.21202316969","-69.9406798289"
"AMAZONAS","PUERTO NARIÑO","91-540","-3.7899163029","-70.3564801394"
"SUCRE","EL ROBLE","70-233",NA,NA
"LA GUAJIRA","LA JAGUA DEL PILAR","44-420",NA,NA
"LA GUAJIRA","ALBANIA","44-035",NA,NA
"MAGDALENA","ZONA BANANERA","47-980","10.9052488307","-74.1727095958"
"MAGDALENA","ALGARROBO","47-030",NA,NA
"MAGDALENA","CONCORDIA","47-205","10.2576584509","-74.8334493147"
"MAGDALENA","ZAPAYAN","47-960",NA,NA
"BOLIVAR","ARROYOHONDO","13-062",NA,NA
"MAGDALENA","SABANAS DE SAN ANGEL","47-660",NA,NA
"MAGDALENA","NUEVA GRANADA","47-460",NA,NA
"MAGDALENA","SANTA BARBARA DE PINTO","47-720","9.48407099608","-74.6646296726"
"GUAINIA","MAPIRIPANA","94-663",NA,NA
"GUAINIA","MORICHAL","94-888",NA,NA
"AMAZONAS","LA VICTORIA","91-430",NA,NA
"AMAZONAS","PUERTO ARICA","91-536",NA,NA
"AMAZONAS","PUERTO ALEGRIA","91-530",NA,NA
"NARIÑO","EL PEÑOL","52-254","1.45363406894","-77.4398362894"
"NARIÑO","NARIÑO","52-480",NA,NA
"CAUCA","SUCRE","19-785",NA,NA
"CAUCA","VILLA RICA","19-845","3.17492271254","-76.4616137142"
"SUCRE","SANTIAGO DE TOLU","70-820","9.50881495881","-75.5881183393"
"SUCRE","COVEÑAS","70-221",NA,NA
"CALDAS","LA DORADA","17-380","5.44389999408","-74.6744521523"
"CALDAS","NORCASIA","17-495","5.575276372","-74.8891796242"
"CALDAS","SAMANA","17-662","5.41307433334","-74.9923802605"
"CHOCO","MEDIO ATRATO","27-425",NA,NA
"CHOCO","ATRATO","27-050","5.53113252017","-76.6361819732"
"CHOCO","RIO QUITO","27-600",NA,NA
"CHOCO","CERTEGUI","27-160",NA,NA
"CHOCO","UNION PANAMERICANA","27-810",NA,NA
"CHOCO","MEDIO BAUDO","27-430",NA,NA
"CHOCO","RIO IRO","27-580",NA,NA
"CHOCO","MEDIO SAN JUAN","27-450","5.09660896906","-76.6955301156"
"CHOCO","BELEN DE BAJIRA","27-086",NA,NA
"ANTIOQUIA","MUTATA","05-480","7.24396317282","-76.4367046955"
"CHOCO","CARMEN DEL DARIEN","27-150",NA,NA
"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA","SAN ANDRES","88-001","12.5829884179","-81.6960414806"
"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA","SANTA CATALINA","88-564",NA,NA
"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA","PROVIDENCIA","88-564","1.2379913538","-77.5965444343"
"AMAZONAS","SEDE AMAZONIA","s_amazonia","-4.189787","-69.938876"
"BOGOTA D.C","SEDE BOGOTA","s_bogota","4.636445","-74.082885"
"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CANTALINA","SEDE CARIBE","s_caribe","12.536244","-81.707912"
"ANTIOQUIA","SEDE MEDELLIN","s_medellin","6.261541","-75.577196"
"CALDAS","SEDE MANIZALES","s_manizales","5.056195","-75.490887"
"VALLE DEL CAUCA","SEDE PALMIRA","s_palmira","3.512328","-76.30749"
